theta_mean,aro_polar_X,X_aro_polar,polar_aro_X,X_polar_aro,aliph_polar_X,X_aliph_polar,polar_aliph_X,X_polar_aliph,aro_aliph_X,X_aro_aliph,aliph_aro_X,X_aliph_aro
3.0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0,0,1,1,3
21.0,0,0,1,0,0,0,0,0,1,0,0,2
27.0,0,0,0,5,0,1,0,0,1,1,4,0
33.0,0,1,2,2,0,0,0,0,1,5,5,0
39.0,1,2,1,0,0,0,0,0,0,5,2,1
45.0,1,0,3,1,1,0,0,1,3,1,1,0
51.0,1,0,0,0,0,0,0,0,1,0,2,0
57.0,0,0,0,0,0,0,0,0,1,1,1,0
63.0,0,0,2,0,0,0,0,0,1,1,1,0
69.0,0,1,0,0,1,1,0,0,1,0,2,0
75.0,0,2,1,1,2,0,0,0,0,0,1,0
81.0,0,0,1,0,1,0,1,1,0,2,1,0
87.0,0,0,1,1,1,0,0,0,0,1,1,0
93.0,2,6,1,0,1,0,0,0,0,0,0,0
99.0,0,1,3,0,0,0,0,0,0,4,0,0
105.0,0,8,6,0,0,0,0,2,0,8,0,0
111.0,2,4,3,0,0,0,0,0,0,10,1,0
117.0,0,3,4,0,0,0,3,0,0,4,1,0
123.0,0,2,0,2,0,1,1,1,0,5,1,0
129.0,2,0,1,1,1,0,2,3,0,1,1,2
135.0,2,0,2,0,1,0,1,3,2,4,0,0
141.0,9,0,3,1,1,0,1,6,7,2,0,1
147.0,16,1,0,8,0,0,0,13,6,1,0,3
153.0,19,1,0,9,10,1,1,14,5,2,0,5
159.0,10,0,0,23,16,0,0,8,0,0,2,7
165.0,7,0,1,30,17,0,0,5,0,0,4,13
171.0,0,0,0,3,0,0,1,2,0,0,0,1
177.0,0,0,0,0,0,0,0,0,0,0,0,0
