wavenumber,Absorbance
4000.00,0.0074
3999.00,0.0074
3998.00,0.0074
3997.00,0.0074
3996.00,0.0074
3995.00,0.0074
3994.00,0.0074
3993.00,0.0074
3992.00,0.0074
3991.00,0.0074
3990.00,0.0074
3989.00,0.0074
3988.00,0.0074
3987.00,0.0074
3986.00,0.0074
3985.00,0.0074
3984.00,0.0074
3983.00,0.0074
3982.00,0.0074
3981.00,0.0074
3980.00,0.0074
3979.00,0.0073
3978.00,0.0073
3977.00,0.0073
3976.00,0.0073
3975.00,0.0073
3974.00,0.0074
3973.00,0.0073
3972.00,0.0073
3971.00,0.0073
3970.00,0.0073
3969.00,0.0073
3968.00,0.0073
3967.00,0.0073
3966.00,0.0073
3965.00,0.0073
3964.00,0.0073
3963.00,0.0073
3962.00,0.0073
3961.00,0.0073
3960.00,0.0073
3959.00,0.0073
3958.00,0.0073
3957.00,0.0073
3956.00,0.0073
3955.00,0.0073
3954.00,0.0073
3953.00,0.0073
3952.00,0.0073
3951.00,0.0073
3950.00,0.0072
3949.00,0.0072
3948.00,0.0071
3947.00,0.0071
3946.00,0.0071
3945.00,0.0072
3944.00,0.0072
3943.00,0.0072
3942.00,0.0073
3941.00,0.0072
3940.00,0.0072
3939.00,0.0072
3938.00,0.0072
3937.00,0.0072
3936.00,0.0072
3935.00,0.0072
3934.00,0.0071
3933.00,0.0071
3932.00,0.0071
3931.00,0.0071
3930.00,0.0071
3929.00,0.0071
3928.00,0.0071
3927.00,0.0072
3926.00,0.0072
3925.00,0.0072
3924.00,0.0072
3923.00,0.0072
3922.00,0.0071
3921.00,0.0071
3920.00,0.0071
3919.00,0.0070
3918.00,0.0070
3917.00,0.0070
3916.00,0.0071
3915.00,0.0071
3914.00,0.0071
3913.00,0.0072
3912.00,0.0072
3911.00,0.0072
3910.00,0.0072
3909.00,0.0072
3908.00,0.0072
3907.00,0.0072
3906.00,0.0071
3905.00,0.0071
3904.00,0.0070
3903.00,0.0068
3902.00,0.0067
3901.00,0.0067
3900.00,0.0068
3899.00,0.0068
3898.00,0.0069
3897.00,0.0069
3896.00,0.0069
3895.00,0.0069
3894.00,0.0069
3893.00,0.0069
3892.00,0.0069
3891.00,0.0069
3890.00,0.0069
3889.00,0.0069
3888.00,0.0069
3887.00,0.0069
3886.00,0.0069
3885.00,0.0069
3884.00,0.0069
3883.00,0.0069
3882.00,0.0070
3881.00,0.0070
3880.00,0.0070
3879.00,0.0070
3878.00,0.0070
3877.00,0.0069
3876.00,0.0069
3875.00,0.0070
3874.00,0.0070
3873.00,0.0070
3872.00,0.0069
3871.00,0.0068
3870.00,0.0067
3869.00,0.0067
3868.00,0.0067
3867.00,0.0067
3866.00,0.0066
3865.00,0.0066
3864.00,0.0066
3863.00,0.0067
3862.00,0.0067
3861.00,0.0067
3860.00,0.0067
3859.00,0.0067
3858.00,0.0068
3857.00,0.0069
3856.00,0.0069
3855.00,0.0069
3854.00,0.0069
3853.00,0.0068
3852.00,0.0068
3851.00,0.0068
3850.00,0.0068
3849.00,0.0068
3848.00,0.0067
3847.00,0.0067
3846.00,0.0067
3845.00,0.0068
3844.00,0.0068
3843.00,0.0068
3842.00,0.0068
3841.00,0.0067
3840.00,0.0067
3839.00,0.0066
3838.00,0.0066
3837.00,0.0066
3836.00,0.0066
3835.00,0.0066
3834.00,0.0066
3833.00,0.0066
3832.00,0.0066
3831.00,0.0067
3830.00,0.0067
3829.00,0.0067
3828.00,0.0067
3827.00,0.0068
3826.00,0.0067
3825.00,0.0067
3824.00,0.0066
3823.00,0.0066
3822.00,0.0065
3821.00,0.0065
3820.00,0.0066
3819.00,0.0066
3818.00,0.0066
3817.00,0.0067
3816.00,0.0067
3815.00,0.0068
3814.00,0.0069
3813.00,0.0069
3812.00,0.0068
3811.00,0.0068
3810.00,0.0068
3809.00,0.0068
3808.00,0.0068
3807.00,0.0067
3806.00,0.0067
3805.00,0.0067
3804.00,0.0066
3803.00,0.0066
3802.00,0.0066
3801.00,0.0067
3800.00,0.0067
3799.00,0.0067
3798.00,0.0066
3797.00,0.0066
3796.00,0.0066
3795.00,0.0067
3794.00,0.0067
3793.00,0.0068
3792.00,0.0068
3791.00,0.0068
3790.00,0.0068
3789.00,0.0069
3788.00,0.0069
3787.00,0.0069
3786.00,0.0069
3785.00,0.0069
3784.00,0.0068
3783.00,0.0068
3782.00,0.0068
3781.00,0.0068
3780.00,0.0068
3779.00,0.0068
3778.00,0.0068
3777.00,0.0068
3776.00,0.0068
3775.00,0.0068
3774.00,0.0068
3773.00,0.0068
3772.00,0.0067
3771.00,0.0067
3770.00,0.0066
3769.00,0.0066
3768.00,0.0066
3767.00,0.0065
3766.00,0.0065
3765.00,0.0065
3764.00,0.0066
3763.00,0.0066
3762.00,0.0066
3761.00,0.0065
3760.00,0.0065
3759.00,0.0066
3758.00,0.0065
3757.00,0.0065
3756.00,0.0065
3755.00,0.0064
3754.00,0.0064
3753.00,0.0063
3752.00,0.0062
3751.00,0.0060
3750.00,0.0059
3749.00,0.0058
3748.00,0.0059
3747.00,0.0060
3746.00,0.0061
3745.00,0.0062
3744.00,0.0064
3743.00,0.0064
3742.00,0.0064
3741.00,0.0063
3740.00,0.0061
3739.00,0.0060
3738.00,0.0060
3737.00,0.0060
3736.00,0.0060
3735.00,0.0060
3734.00,0.0060
3733.00,0.0059
3732.00,0.0059
3731.00,0.0060
3730.00,0.0062
3729.00,0.0063
3728.00,0.0063
3727.00,0.0063
3726.00,0.0064
3725.00,0.0064
3724.00,0.0064
3723.00,0.0064
3722.00,0.0064
3721.00,0.0064
3720.00,0.0064
3719.00,0.0064
3718.00,0.0064
3717.00,0.0064
3716.00,0.0064
3715.00,0.0064
3714.00,0.0064
3713.00,0.0064
3712.00,0.0064
3711.00,0.0064
3710.00,0.0064
3709.00,0.0064
3708.00,0.0064
3707.00,0.0064
3706.00,0.0064
3705.00,0.0064
3704.00,0.0064
3703.00,0.0063
3702.00,0.0063
3701.00,0.0063
3700.00,0.0064
3699.00,0.0064
3698.00,0.0064
3697.00,0.0064
3696.00,0.0065
3695.00,0.0065
3694.00,0.0065
3693.00,0.0065
3692.00,0.0065
3691.00,0.0064
3690.00,0.0063
3689.00,0.0062
3688.00,0.0061
3687.00,0.0062
3686.00,0.0063
3685.00,0.0063
3684.00,0.0063
3683.00,0.0064
3682.00,0.0064
3681.00,0.0064
3680.00,0.0064
3679.00,0.0064
3678.00,0.0064
3677.00,0.0063
3676.00,0.0063
3675.00,0.0063
3674.00,0.0063
3673.00,0.0062
3672.00,0.0062
3671.00,0.0061
3670.00,0.0062
3669.00,0.0062
3668.00,0.0063
3667.00,0.0063
3666.00,0.0064
3665.00,0.0064
3664.00,0.0065
3663.00,0.0065
3662.00,0.0065
3661.00,0.0065
3660.00,0.0065
3659.00,0.0065
3658.00,0.0065
3657.00,0.0064
3656.00,0.0064
3655.00,0.0064
3654.00,0.0064
3653.00,0.0064
3652.00,0.0063
3651.00,0.0063
3650.00,0.0062
3649.00,0.0062
3648.00,0.0061
3647.00,0.0062
3646.00,0.0063
3645.00,0.0064
3644.00,0.0064
3643.00,0.0064
3642.00,0.0065
3641.00,0.0065
3640.00,0.0066
3639.00,0.0066
3638.00,0.0066
3637.00,0.0066
3636.00,0.0066
3635.00,0.0066
3634.00,0.0066
3633.00,0.0066
3632.00,0.0065
3631.00,0.0064
3630.00,0.0063
3629.00,0.0063
3628.00,0.0063
3627.00,0.0064
3626.00,0.0064
3625.00,0.0064
3624.00,0.0064
3623.00,0.0064
3622.00,0.0064
3621.00,0.0064
3620.00,0.0063
3619.00,0.0064
3618.00,0.0064
3617.00,0.0064
3616.00,0.0064
3615.00,0.0063
3614.00,0.0063
3613.00,0.0063
3612.00,0.0063
3611.00,0.0063
3610.00,0.0063
3609.00,0.0064
3608.00,0.0066
3607.00,0.0067
3606.00,0.0068
3605.00,0.0068
3604.00,0.0068
3603.00,0.0067
3602.00,0.0068
3601.00,0.0068
3600.00,0.0068
3599.00,0.0067
3598.00,0.0067
3597.00,0.0067
3596.00,0.0068
3595.00,0.0068
3594.00,0.0068
3593.00,0.0068
3592.00,0.0068
3591.00,0.0067
3590.00,0.0067
3589.00,0.0067
3588.00,0.0067
3587.00,0.0067
3586.00,0.0068
3585.00,0.0068
3584.00,0.0069
3583.00,0.0069
3582.00,0.0070
3581.00,0.0070
3580.00,0.0071
3579.00,0.0071
3578.00,0.0071
3577.00,0.0071
3576.00,0.0071
3575.00,0.0071
3574.00,0.0071
3573.00,0.0071
3572.00,0.0071
3571.00,0.0071
3570.00,0.0071
3569.00,0.0071
3568.00,0.0071
3567.00,0.0070
3566.00,0.0070
3565.00,0.0070
3564.00,0.0070
3563.00,0.0070
3562.00,0.0071
3561.00,0.0071
3560.00,0.0072
3559.00,0.0072
3558.00,0.0073
3557.00,0.0073
3556.00,0.0073
3555.00,0.0073
3554.00,0.0073
3553.00,0.0073
3552.00,0.0073
3551.00,0.0073
3550.00,0.0073
3549.00,0.0072
3548.00,0.0071
3547.00,0.0071
3546.00,0.0071
3545.00,0.0071
3544.00,0.0072
3543.00,0.0072
3542.00,0.0073
3541.00,0.0073
3540.00,0.0073
3539.00,0.0074
3538.00,0.0074
3537.00,0.0074
3536.00,0.0074
3535.00,0.0074
3534.00,0.0074
3533.00,0.0074
3532.00,0.0074
3531.00,0.0074
3530.00,0.0074
3529.00,0.0074
3528.00,0.0074
3527.00,0.0073
3526.00,0.0073
3525.00,0.0072
3524.00,0.0072
3523.00,0.0073
3522.00,0.0073
3521.00,0.0074
3520.00,0.0074
3519.00,0.0075
3518.00,0.0075
3517.00,0.0075
3516.00,0.0075
3515.00,0.0075
3514.00,0.0075
3513.00,0.0075
3512.00,0.0075
3511.00,0.0075
3510.00,0.0075
3509.00,0.0075
3508.00,0.0075
3507.00,0.0074
3506.00,0.0074
3505.00,0.0074
3504.00,0.0074
3503.00,0.0074
3502.00,0.0074
3501.00,0.0074
3500.00,0.0074
3499.00,0.0075
3498.00,0.0075
3497.00,0.0075
3496.00,0.0076
3495.00,0.0076
3494.00,0.0076
3493.00,0.0076
3492.00,0.0076
3491.00,0.0076
3490.00,0.0076
3489.00,0.0076
3488.00,0.0076
3487.00,0.0076
3486.00,0.0076
3485.00,0.0076
3484.00,0.0076
3483.00,0.0076
3482.00,0.0077
3481.00,0.0077
3480.00,0.0077
3479.00,0.0078
3478.00,0.0078
3477.00,0.0078
3476.00,0.0079
3475.00,0.0079
3474.00,0.0079
3473.00,0.0079
3472.00,0.0079
3471.00,0.0079
3470.00,0.0079
3469.00,0.0079
3468.00,0.0079
3467.00,0.0079
3466.00,0.0080
3465.00,0.0080
3464.00,0.0080
3463.00,0.0081
3462.00,0.0081
3461.00,0.0081
3460.00,0.0081
3459.00,0.0082
3458.00,0.0082
3457.00,0.0082
3456.00,0.0082
3455.00,0.0082
3454.00,0.0083
3453.00,0.0083
3452.00,0.0083
3451.00,0.0084
3450.00,0.0084
3449.00,0.0084
3448.00,0.0084
3447.00,0.0084
3446.00,0.0084
3445.00,0.0084
3444.00,0.0084
3443.00,0.0085
3442.00,0.0085
3441.00,0.0086
3440.00,0.0086
3439.00,0.0087
3438.00,0.0087
3437.00,0.0088
3436.00,0.0088
3435.00,0.0088
3434.00,0.0088
3433.00,0.0089
3432.00,0.0089
3431.00,0.0089
3430.00,0.0089
3429.00,0.0090
3428.00,0.0090
3427.00,0.0090
3426.00,0.0090
3425.00,0.0090
3424.00,0.0091
3423.00,0.0091
3422.00,0.0091
3421.00,0.0091
3420.00,0.0091
3419.00,0.0092
3418.00,0.0092
3417.00,0.0092
3416.00,0.0093
3415.00,0.0093
3414.00,0.0094
3413.00,0.0094
3412.00,0.0094
3411.00,0.0095
3410.00,0.0095
3409.00,0.0095
3408.00,0.0095
3407.00,0.0096
3406.00,0.0096
3405.00,0.0096
3404.00,0.0097
3403.00,0.0097
3402.00,0.0097
3401.00,0.0097
3400.00,0.0097
3399.00,0.0097
3398.00,0.0097
3397.00,0.0097
3396.00,0.0097
3395.00,0.0097
3394.00,0.0097
3393.00,0.0097
3392.00,0.0097
3391.00,0.0097
3390.00,0.0097
3389.00,0.0097
3388.00,0.0096
3387.00,0.0096
3386.00,0.0096
3385.00,0.0096
3384.00,0.0096
3383.00,0.0096
3382.00,0.0095
3381.00,0.0095
3380.00,0.0095
3379.00,0.0095
3378.00,0.0095
3377.00,0.0095
3376.00,0.0094
3375.00,0.0094
3374.00,0.0094
3373.00,0.0094
3372.00,0.0094
3371.00,0.0094
3370.00,0.0094
3369.00,0.0094
3368.00,0.0094
3367.00,0.0094
3366.00,0.0093
3365.00,0.0093
3364.00,0.0094
3363.00,0.0094
3362.00,0.0094
3361.00,0.0094
3360.00,0.0094
3359.00,0.0094
3358.00,0.0094
3357.00,0.0095
3356.00,0.0095
3355.00,0.0095
3354.00,0.0096
3353.00,0.0096
3352.00,0.0096
3351.00,0.0096
3350.00,0.0096
3349.00,0.0096
3348.00,0.0097
3347.00,0.0097
3346.00,0.0097
3345.00,0.0098
3344.00,0.0098
3343.00,0.0098
3342.00,0.0099
3341.00,0.0099
3340.00,0.0099
3339.00,0.0100
3338.00,0.0100
3337.00,0.0101
3336.00,0.0102
3335.00,0.0103
3334.00,0.0103
3333.00,0.0104
3332.00,0.0105
3331.00,0.0106
3330.00,0.0107
3329.00,0.0108
3328.00,0.0109
3327.00,0.0110
3326.00,0.0111
3325.00,0.0112
3324.00,0.0113
3323.00,0.0114
3322.00,0.0116
3321.00,0.0117
3320.00,0.0119
3319.00,0.0120
3318.00,0.0121
3317.00,0.0123
3316.00,0.0124
3315.00,0.0126
3314.00,0.0128
3313.00,0.0129
3312.00,0.0131
3311.00,0.0133
3310.00,0.0135
3309.00,0.0137
3308.00,0.0139
3307.00,0.0141
3306.00,0.0143
3305.00,0.0145
3304.00,0.0147
3303.00,0.0149
3302.00,0.0151
3301.00,0.0154
3300.00,0.0156
3299.00,0.0158
3298.00,0.0160
3297.00,0.0162
3296.00,0.0164
3295.00,0.0166
3294.00,0.0168
3293.00,0.0170
3292.00,0.0172
3291.00,0.0174
3290.00,0.0176
3289.00,0.0178
3288.00,0.0180
3287.00,0.0182
3286.00,0.0184
3285.00,0.0185
3284.00,0.0187
3283.00,0.0189
3282.00,0.0190
3281.00,0.0192
3280.00,0.0193
3279.00,0.0194
3278.00,0.0195
3277.00,0.0195
3276.00,0.0196
3275.00,0.0196
3274.00,0.0197
3273.00,0.0197
3272.00,0.0197
3271.00,0.0197
3270.00,0.0197
3269.00,0.0196
3268.00,0.0195
3267.00,0.0195
3266.00,0.0193
3265.00,0.0192
3264.00,0.0191
3263.00,0.0189
3262.00,0.0187
3261.00,0.0185
3260.00,0.0183
3259.00,0.0180
3258.00,0.0178
3257.00,0.0175
3256.00,0.0173
3255.00,0.0171
3254.00,0.0169
3253.00,0.0167
3252.00,0.0165
3251.00,0.0163
3250.00,0.0161
3249.00,0.0159
3248.00,0.0157
3247.00,0.0155
3246.00,0.0153
3245.00,0.0151
3244.00,0.0150
3243.00,0.0149
3242.00,0.0147
3241.00,0.0146
3240.00,0.0145
3239.00,0.0144
3238.00,0.0142
3237.00,0.0141
3236.00,0.0140
3235.00,0.0138
3234.00,0.0137
3233.00,0.0136
3232.00,0.0136
3231.00,0.0135
3230.00,0.0134
3229.00,0.0134
3228.00,0.0133
3227.00,0.0132
3226.00,0.0132
3225.00,0.0131
3224.00,0.0130
3223.00,0.0130
3222.00,0.0129
3221.00,0.0128
3220.00,0.0128
3219.00,0.0127
3218.00,0.0127
3217.00,0.0126
3216.00,0.0126
3215.00,0.0126
3214.00,0.0125
3213.00,0.0125
3212.00,0.0125
3211.00,0.0124
3210.00,0.0124
3209.00,0.0124
3208.00,0.0124
3207.00,0.0124
3206.00,0.0123
3205.00,0.0123
3204.00,0.0123
3203.00,0.0123
3202.00,0.0122
3201.00,0.0122
3200.00,0.0121
3199.00,0.0121
3198.00,0.0120
3197.00,0.0120
3196.00,0.0119
3195.00,0.0118
3194.00,0.0117
3193.00,0.0116
3192.00,0.0116
3191.00,0.0115
3190.00,0.0114
3189.00,0.0113
3188.00,0.0112
3187.00,0.0111
3186.00,0.0110
3185.00,0.0109
3184.00,0.0109
3183.00,0.0108
3182.00,0.0107
3181.00,0.0106
3180.00,0.0105
3179.00,0.0104
3178.00,0.0103
3177.00,0.0102
3176.00,0.0102
3175.00,0.0101
3174.00,0.0100
3173.00,0.0100
3172.00,0.0099
3171.00,0.0098
3170.00,0.0098
3169.00,0.0097
3168.00,0.0096
3167.00,0.0096
3166.00,0.0095
3165.00,0.0095
3164.00,0.0094
3163.00,0.0094
3162.00,0.0093
3161.00,0.0093
3160.00,0.0092
3159.00,0.0092
3158.00,0.0091
3157.00,0.0091
3156.00,0.0090
3155.00,0.0090
3154.00,0.0089
3153.00,0.0089
3152.00,0.0089
3151.00,0.0088
3150.00,0.0088
3149.00,0.0088
3148.00,0.0088
3147.00,0.0088
3146.00,0.0087
3145.00,0.0087
3144.00,0.0087
3143.00,0.0087
3142.00,0.0086
3141.00,0.0086
3140.00,0.0086
3139.00,0.0085
3138.00,0.0085
3137.00,0.0085
3136.00,0.0085
3135.00,0.0085
3134.00,0.0085
3133.00,0.0084
3132.00,0.0084
3131.00,0.0084
3130.00,0.0084
3129.00,0.0084
3128.00,0.0083
3127.00,0.0083
3126.00,0.0083
3125.00,0.0083
3124.00,0.0083
3123.00,0.0083
3122.00,0.0082
3121.00,0.0082
3120.00,0.0082
3119.00,0.0082
3118.00,0.0082
3117.00,0.0082
3116.00,0.0082
3115.00,0.0082
3114.00,0.0083
3113.00,0.0083
3112.00,0.0083
3111.00,0.0083
3110.00,0.0083
3109.00,0.0083
3108.00,0.0083
3107.00,0.0083
3106.00,0.0083
3105.00,0.0083
3104.00,0.0083
3103.00,0.0084
3102.00,0.0084
3101.00,0.0084
3100.00,0.0084
3099.00,0.0084
3098.00,0.0085
3097.00,0.0085
3096.00,0.0086
3095.00,0.0086
3094.00,0.0086
3093.00,0.0086
3092.00,0.0086
3091.00,0.0087
3090.00,0.0087
3089.00,0.0087
3088.00,0.0087
3087.00,0.0087
3086.00,0.0087
3085.00,0.0088
3084.00,0.0088
3083.00,0.0088
3082.00,0.0088
3081.00,0.0088
3080.00,0.0088
3079.00,0.0088
3078.00,0.0088
3077.00,0.0089
3076.00,0.0089
3075.00,0.0089
3074.00,0.0089
3073.00,0.0089
3072.00,0.0089
3071.00,0.0088
3070.00,0.0088
3069.00,0.0088
3068.00,0.0087
3067.00,0.0087
3066.00,0.0087
3065.00,0.0087
3064.00,0.0086
3063.00,0.0086
3062.00,0.0086
3061.00,0.0086
3060.00,0.0085
3059.00,0.0085
3058.00,0.0084
3057.00,0.0084
3056.00,0.0083
3055.00,0.0083
3054.00,0.0082
3053.00,0.0082
3052.00,0.0082
3051.00,0.0081
3050.00,0.0081
3049.00,0.0081
3048.00,0.0080
3047.00,0.0080
3046.00,0.0079
3045.00,0.0079
3044.00,0.0078
3043.00,0.0078
3042.00,0.0078
