wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1720.0,0.0,1.471593230761099e-10,2.8507051676478897e-46,1.7078036657835684e-52,1.4487251873983217e-21,1.147320076912805e-10,3.242533417287738e-11,1.892444330283138e-19,1.9810212588805576e-15
1719.0,2.714285714285709e-05,2.515962877170366e-10,1.4941759578680648e-45,1.7534020758774827e-51,3.517021724377952e-21,1.8541856974866516e-10,6.616752143484986e-11,1.1175663580123407e-18,1.0195412438198626e-14
1718.0,0.0,4.310276842879098e-10,7.723794097588699e-45,1.7563941612947995e-50,8.462739501846612e-21,2.9781466778232676e-10,1.3316336940226572e-10,6.329075776830448e-18,4.964076577886376e-14
1717.0,0.0,7.399373324461546e-10,3.9376683418843236e-44,1.716561416042435e-49,2.0183374389111614e-20,4.754043636224631e-10,2.6430427445260824e-10,3.437352250608742e-17,2.2865997737721706e-13
1716.0,0.0,1.2726000068919472e-09,1.9798262713969976e-43,1.6367924065152998e-48,4.7711542926535625e-20,7.542311539413431e-10,5.173722139185174e-10,1.790294810264716e-16,9.964599548940213e-13
1715.0,0.0,2.1921572483422353e-09,9.817355874937053e-43,1.5227364725609466e-47,1.117892462885733e-19,1.1892413304698754e-09,9.988068616070923e-10,8.942147605602292e-16,4.108161938717249e-12
1714.0,0.0,3.781346597979533e-09,4.801108141800363e-42,1.3821424061452775e-46,2.59611230984313e-19,1.8636302207262938e-09,1.901688745556493e-09,4.283274273025777e-15,1.6023348162862544e-11
1713.0,0.0,6.5325485991874254e-09,2.3156234815244073e-41,1.2239895986779719e-45,5.975769076027044e-19,2.902509955395554e-09,3.570893172496421e-09,1.967554195448659e-14,5.912579515591878e-11
1712.0,0.0,1.1312165293160846e-08,1.1014731220710984e-40,1.0575467036699827e-44,1.363361476331466e-18,4.492746505053533e-09,6.612927816807998e-09,8.667508800581403e-14,2.0640429484794736e-10
1711.0,0.0,1.967144116358419e-08,5.167248713594132e-40,8.914936989721054e-44,3.083011265171413e-18,6.911532195368842e-09,1.2077866058277188e-08,3.661665326556753e-13,6.816767403224916e-10
1710.0,0.0,3.445394765117877e-08,2.3906958637875012e-39,7.3321930899806e-43,6.910127913022412e-18,1.056722559653024e-08,2.1755353198254476e-08,1.4834734311594644e-12,2.1298853760527682e-09
1709.0,0.0,6.100636893415487e-08,1.0908594471423973e-38,5.883644204514378e-42,1.5351257032885747e-17,1.6057275037653494e-08,3.864751464864446e-08,5.7636508753022696e-12,6.2958155816303614e-09
1708.0,0.0,1.0958798795976495e-07,4.908996999090487e-38,4.606338024694666e-41,3.380248912008325e-17,2.424973163539739e-08,6.77105754991533e-08,2.147495826483381e-11,1.7606205833146945e-08
1707.0,0.0,2.00049563377312e-07,2.178694006674329e-37,3.5185368193701334e-40,7.377348534106165e-17,3.639705547587879e-08,1.1699598071490486e-07,7.673327942064587e-11,4.657979383333419e-08
1706.0,0.0,3.705152668306727e-07,9.536284814544253e-37,2.6221968358545428e-39,1.5958747498706496e-16,5.429374362357856e-08,1.9937232891448114e-07,2.6293715472062566e-10,1.1658625697830496e-07
1705.0,0.0,6.924965122658548e-07,4.1166286353222354e-36,1.9066253867805388e-38,3.421717781063921e-16,8.049289518334175e-08,3.3507214383363303e-07,8.640461259880698e-10,2.760674267807202e-07
1704.0,0.0,1.2951504496679431e-06,1.7526034833770844e-35,1.35257808683591e-37,7.271708341347663e-16,1.1860132267613008e-07,5.553813211600279e-07,2.722943715082905e-09,6.184448613895314e-07
1703.0,0.0,2.4004822431386066e-06,7.358768709097877e-35,9.3617322571024e-37,1.5317066511200375e-15,1.7367837209502598e-07,9.07870107532642e-07,8.229191520572311e-09,1.3107045704586597e-06
1702.0,0.0,4.36827312475142e-06,3.047236333839752e-34,6.321890638938945e-36,3.1978760501788822e-15,2.5277037369261263e-07,1.4636447081839705e-06,2.385022300755501e-08,2.6280078166694064e-06
1701.0,0.0,7.74409027429836e-06,1.2444762867417556e-33,4.1651882513446493e-35,6.617508935353818e-15,3.656207410750086e-07,2.3271646943916612e-06,6.628946090173721e-08,4.985015371312445e-06
1700.0,0.0,1.3297405881698299e-05,5.012410323994878e-33,2.6774365273215905e-34,1.3572952460130067e-14,5.256052591121633e-07,3.6492034337292223e-06,1.766905402904313e-07,8.94590663499353e-06
1699.0,0.0,2.2034087393263727e-05,1.9910680736960462e-32,1.679193044699732e-33,2.7593132169257362e-14,7.509530800105728e-07,5.643500043120674e-06,4.51646739155358e-07,1.518798750338399e-05
1698.0,0.0,3.5175615021021023e-05,7.800188607124462e-32,1.0274932151652932e-32,5.559996984951578e-14,1.0663263153440327e-06,8.607528971476726e-06,1.1071366508121427e-06,2.439462302778815e-05
1697.0,0.0,5.412366737481554e-05,3.013724869337091e-31,6.134147182948325e-32,1.1104397319654345e-13,1.5048446709260516e-06,1.2947560713062273e-05,2.602677427555843e-06,3.70685844522274e-05
1696.0,0.0,8.047476275267901e-05,1.1483693759691615e-30,3.5729448695321164e-31,2.1981752354134176e-13,2.110655946175555e-06,1.9207768897844463e-05,5.867542335683324e-06,5.3288795353158146e-05
1695.0,7.857142857142872e-05,0.00011620449822190999,4.315579342655991e-30,2.0304641751162406e-30,4.312970728431383e-13,2.9421678121634923e-06,2.8102528050437492e-05,1.2685537887610657e-05,7.247426404040128e-05
1694.0,0.00020571428571428563,0.00016417786319017,1.5994700461467992e-29,1.1257999912771635e-29,8.387597704339329e-13,4.0760702241922284e-06,4.055023363156223e-05,2.6301366335710554e-05,9.325019215994521e-05
1693.0,0.0002328571428571423,0.00022912367605597392,5.84645511205156e-29,6.090094672994496e-29,1.6167599980854267e-12,5.612289931796827e-06,5.770598175803279e-05,5.2295522027619814e-05,0.00011350988072176447
1692.0,0.0002599999999999998,0.00031910402615094877,2.1076021381077876e-28,3.214280254222039e-28,3.088875472375644e-12,7.680027287222342e-06,8.098933072364803e-05,9.971660032421209e-05,0.00013071806472699087
1691.0,0.000487142857142857,0.00044730441905737814,7.493145124671231e-28,1.6551613258761243e-27,5.8492761672683696e-12,1.0445029018681998e-05,0.0001121022394742266,0.00018234220115336179,0.0001424149435618316
1690.0,0.000714285714285715,0.0006336982359009611,2.6273574364129975e-27,8.315604265054565e-27,1.0978695369944667e-11,1.4118246558262892e-05,0.00015303130075376334,0.0003197596731689292,0.00014678900444131028
1689.0,0.0010414285714285708,0.0009058757214676248,9.08560137772479e-27,4.076093990942285e-26,2.042425501995096e-11,1.8966015301298376e-05,0.0002060277660115099,0.0005377457148121035,0.00014313620491845805
1688.0,0.0013685714285714282,0.001298181556815019,3.098615577505354e-26,1.949357349640079e-25,3.766071803053976e-11,2.532186298477813e-05,0.0002735588313410591,0.0008672553624009385,0.00013204546242752527
1687.0,0.001795714285714286,0.0018483920958751881,1.042224369372686e-25,9.095689431952366e-25,6.883001259143207e-11,3.360001225563148e-05,0.0003582244533458008,0.0013413243171915543,0.00011524324425218894
1686.0,0.002322857142857142,0.0025915700354929377,3.4572775816455228e-25,4.1407277785170486e-24,1.2468493515005663e-10,4.4310580583716067e-05,0.0004626357823871972,0.0019894698917088177,9.515365612827171e-05
